MODEL UNDER TEST. Read ONLY this file. No decrypt. No world knowledge.
Real FinQA + WikiTableQuestions tables in SHARED CONTEXT.
Research path: binders (PROG/DSL) vs sealed NL.
WTQ gold cell LOOKUP DSL binder (research path).

===== SHARED CONTEXT BEGIN (real tables) =====
### TABLE E58245d48c86c ###
Edb3a061cea13 | E1da84b778cb6 | 2018
Eb92856bda0e7 | E27bc6ebad25c | 102.49
Eb92856bda0e7 | E95b980fc8168 | 118.86
E62778a6195b1 | E11cb11528777 | Ee55215185d09
E62778a6195b1 | E9d47d044fe28 | 100
E62778a6195b1 | E3afed78cdabc | 88.78
E62778a6195b1 | E1da0f6bc2d21 | 84.26
E62778a6195b1 | E39ce0cd75b21 | 46.12
E62778a6195b1 | E27bc6ebad25c | 83.47
E62778a6195b1 | E95b980fc8168 | 91.35

### TABLE Eb7121e361ffd ###
Eeff349bf0e21 | E11f7052e71e1 | E8901b6ac4f24
Eeff349bf0e21 | E139a4f2c802a | Ef25782d86b16
Eeff349bf0e21 | Ee38787f339a5 | Ebd33a4b17eae
Eeff349bf0e21 | E09ee28c83c49 | Ef835f9a56315
E4ee1ed3c5c59 | E11f7052e71e1 | E64ff5843420d
E4ee1ed3c5c59 | E139a4f2c802a | E249fd6722b1e
E4ee1ed3c5c59 | Ee38787f339a5 | E8ad552eb8384
E4ee1ed3c5c59 | E09ee28c83c49 | Ec38580182e11

### TABLE E7cceb58c7921 ###
Ee2ef4ee7a931 | E11cb11528777 | E4ee23b5e4ba1
Ee2ef4ee7a931 | E7eb3f56226bd | E704814de5013
Ee2ef4ee7a931 | E2c1a2a5fb006 | E5b7a06b26361
Ee2ef4ee7a931 | Eac096cc34fe0 | Eb73e5f585bc3
Ef6995ee2a5fd | E11cb11528777 | E4c95f3e7427c
Ef6995ee2a5fd | E7eb3f56226bd | E85ce18f82de2
Ef6995ee2a5fd | E2c1a2a5fb006 | Eff90532d19ba
Ef6995ee2a5fd | Eac096cc34fe0 | Efcf73d48da49
E66eb16fdfb49 | E11cb11528777 | E0f416436ea03
E66eb16fdfb49 | E7eb3f56226bd | E962ba2270fda
E66eb16fdfb49 | E2c1a2a5fb006 | E1c419e53f5f5
E66eb16fdfb49 | Eac096cc34fe0 | E3b6b94501c8b
Ed1870a8b9fa5 | E11cb11528777 | E40d5fa909068
Ed1870a8b9fa5 | E7eb3f56226bd | 5.9
Ed1870a8b9fa5 | E2c1a2a5fb006 | 6.1
Ed1870a8b9fa5 | Eac096cc34fe0 | 6.0

### TABLE E2b5763fceef1 ###
Ebfeb45e0e4f2 | E5cf73b576f09 | Ef3ac76d93b0b
Ebfeb45e0e4f2 | E50ce8a44f9b9 | Ef64dda264de1
E8f6c3b856e5a | E5cf73b576f09 | E43630b2acba2
E8f6c3b856e5a | E50ce8a44f9b9 | E9a8183a0c0f7
E3482f046c830 | E5cf73b576f09 | E3784d863857f
E3482f046c830 | E50ce8a44f9b9 | 710896
Ec10f4ee25caf | E5cf73b576f09 | E2e328d6fd2fb
Ec10f4ee25caf | E50ce8a44f9b9 | E8c1c11a5c465
E597a2d80476d | E5cf73b576f09 | E7de17c23130c
E597a2d80476d | E50ce8a44f9b9 | E3dce64b0c171

### TABLE E178074b54ce8 ###
Ea37daa9c6dfa | Eb2bb1f17050f | 2012
Ea37daa9c6dfa | E929a454f9cbb | E61781661fa67
Ea37daa9c6dfa | E929a454f9cbb | E34129b660179
Eeac2b9f215c3 | Eb2bb1f17050f | 2011
Eeac2b9f215c3 | E929a454f9cbb | E06f88459a0f1
Eeac2b9f215c3 | E929a454f9cbb | 7.7

### TABLE E7a8abf653955 ###
Eea99569cc586 | E348898587403 | Eb89dbd5e911e
Eea99569cc586 | Ea02b5c80be7e | Ef45c6a1efb4c
Eea99569cc586 | E85c680320a19 | Ebc50e22e08e0
Eea99569cc586 | Ec6b0c229ff79 | E31d6a94b83c1
Eea99569cc586 | Ec619c2bb3630 | E071f107888c1
Eea99569cc586 | E15a63969f626 | 754
Eea99569cc586 | Ea02b5c80be7e | E6fc345b075e6
Eea99569cc586 | E85c680320a19 | E65ca38df172b
Eea99569cc586 | Ec6b0c229ff79 | Eac3af261349b
Eea99569cc586 | E9af76f003d0b | E55ecde2721ca
Eea99569cc586 | Ed4190aafe11b | 745
E59d6e84534ff | E348898587403 | Ecd45472971a6
E59d6e84534ff | Ea02b5c80be7e | 12.7
E59d6e84534ff | E85c680320a19 | 25
E59d6e84534ff | Ec6b0c229ff79 | 0.8
E59d6e84534ff | Ec619c2bb3630 | 1
E59d6e84534ff | E15a63969f626 | 751
E59d6e84534ff | Ea02b5c80be7e | 12.2
E59d6e84534ff | E85c680320a19 | 20
E59d6e84534ff | Ec6b0c229ff79 | 1.9
E59d6e84534ff | E9af76f003d0b | 2
E59d6e84534ff | Ed4190aafe11b | 740
Ed01c98393923 | E348898587403 | E483d075a97a2
Ed01c98393923 | Ea02b5c80be7e | 2.2
Ed01c98393923 | E85c680320a19 | 4
Ed01c98393923 | Ec6b0c229ff79 | 1.2
Ed01c98393923 | Ec619c2bb3630 | 2
Ed01c98393923 | E15a63969f626 | 719
Ed01c98393923 | Ea02b5c80be7e | 3.0
Ed01c98393923 | E85c680320a19 | 5
Ed01c98393923 | Ec6b0c229ff79 | 3.0
Ed01c98393923 | E9af76f003d0b | 8
Ed01c98393923 | Ed4190aafe11b | 695
E1f5a7a421a86 | E348898587403 | Ebd940224c7f9
E1f5a7a421a86 | Ea02b5c80be7e | 2.2
E1f5a7a421a86 | E85c680320a19 | 4
E1f5a7a421a86 | Ec6b0c229ff79 | 1.0
E1f5a7a421a86 | Ec619c2bb3630 | 3
E1f5a7a421a86 | E15a63969f626 | 735
E1f5a7a421a86 | Ea02b5c80be7e | 2.5
E1f5a7a421a86 | E85c680320a19 | 4
E1f5a7a421a86 | Ec6b0c229ff79 | 2.5
E1f5a7a421a86 | E9af76f003d0b | 9
E1f5a7a421a86 | Ed4190aafe11b | 713
E1457d13df848 | E348898587403 | Eb41c8635b61e
E1457d13df848 | Ea02b5c80be7e | 2.2
E1457d13df848 | E85c680320a19 | 4
E1457d13df848 | Ec6b0c229ff79 | 1.1
E1457d13df848 | Ec619c2bb3630 | 4
E1457d13df848 | E15a63969f626 | 723
E1457d13df848 | Ea02b5c80be7e | 2.8
E1457d13df848 | E85c680320a19 | 5
E1457d13df848 | Ec6b0c229ff79 | 3.0
E1457d13df848 | E9af76f003d0b | 14
E1457d13df848 | Ed4190aafe11b | 700
Ec439fd48f279 | E348898587403 | Ee9bcd9c6b378
Ec439fd48f279 | Ea02b5c80be7e | 1.9
Ec439fd48f279 | E85c680320a19 | 4
Ec439fd48f279 | Ec6b0c229ff79 | 1.0
Ec439fd48f279 | Ec619c2bb3630 | 2014
Ec439fd48f279 | E15a63969f626 | 711
Ec439fd48f279 | Ea02b5c80be7e | 2.5
Ec439fd48f279 | E85c680320a19 | 4
Ec439fd48f279 | Ec6b0c229ff79 | 2.7
Ec439fd48f279 | E9af76f003d0b | 2014
Ec439fd48f279 | Ed4190aafe11b | 680
E74c5ef72d265 | E348898587403 | E259077e6ed56
E74c5ef72d265 | Ea02b5c80be7e | 11.0
E74c5ef72d265 | E85c680320a19 | 21
E74c5ef72d265 | Ec6b0c229ff79 | 1.3
E74c5ef72d265 | Ec619c2bb3630 | 2
E74c5ef72d265 | E15a63969f626 | 710
E74c5ef72d265 | Ea02b5c80be7e | 18.2
E74c5ef72d265 | E85c680320a19 | 30
E74c5ef72d265 | Ec6b0c229ff79 | 3.3
E74c5ef72d265 | E9af76f003d0b | 7
E74c5ef72d265 | Ed4190aafe11b | 677
Ea4eb62166e45 | E348898587403 | E2f2d821e5267
Ea4eb62166e45 | Ea02b5c80be7e | Edb5a3675a194
Ea4eb62166e45 | E85c680320a19 | E3f8a68dead69
Ea4eb62166e45 | Ec6b0c229ff79 | Ec27db99b87f3
Ea4eb62166e45 | Ec619c2bb3630 | E071f107888c1
Ea4eb62166e45 | E15a63969f626 | 738
Ea4eb62166e45 | Ea02b5c80be7e | E0e8b0a9ec4e7
Ea4eb62166e45 | E85c680320a19 | E3f8a68dead69
Ea4eb62166e45 | Ec6b0c229ff79 | Efcf73d48da49
Ea4eb62166e45 | E9af76f003d0b | Edb12fa5b87a9
Ea4eb62166e45 | Ed4190aafe11b | 715

### TABLE E83ab0775298f ###
E13dc4a681c86 | E11cb11528777 | Ec3db863579c9
E13dc4a681c86 | Eac096cc34fe0 | 100.00
E13dc4a681c86 | E2c1a2a5fb006 | 116.62
E13dc4a681c86 | E7eb3f56226bd | 161.33
E13dc4a681c86 | Ea77014fbbdad | 206.53
E13dc4a681c86 | E420f2b5bc48a | 228.24
E13dc4a681c86 | E986cb8ffb553 | 312.11
E306ce4b832c9 | E11cb11528777 | Edb8c19077820
E306ce4b832c9 | Eac096cc34fe0 | 100.00
E306ce4b832c9 | E2c1a2a5fb006 | 107.65
E306ce4b832c9 | E7eb3f56226bd | 126.89
E306ce4b832c9 | Ea77014fbbdad | 174.28
E306ce4b832c9 | E420f2b5bc48a | 219.46
E306ce4b832c9 | E986cb8ffb553 | 251.24
E1fbfc07018e0 | E11cb11528777 | Efe1ee41e3310
E1fbfc07018e0 | Eac096cc34fe0 | 100.00
E1fbfc07018e0 | E2c1a2a5fb006 | 105.45
E1fbfc07018e0 | E7eb3f56226bd | 127.17
E1fbfc07018e0 | Ea77014fbbdad | 158.46
E1fbfc07018e0 | E420f2b5bc48a | 170.22
E1fbfc07018e0 | E986cb8ffb553 | 177.02

### TABLE E0ba269d08048 ###
Ef131fa075019 | E11cb11528777 | E86f021770831
Ef131fa075019 | E3d7e09bdbb57 | 1223
Ef131fa075019 | E1da84b778cb6 | 1082
Ef131fa075019 | E986cb8ffb553 | 642
Ee22cf8f92db3 | E11cb11528777 | Ee6b91d64c427
Ee22cf8f92db3 | E3d7e09bdbb57 | 988
Ee22cf8f92db3 | E1da84b778cb6 | 948
Ee22cf8f92db3 | E986cb8ffb553 | 956
E469de4871061 | E11cb11528777 | Ec0dc783908a2
E469de4871061 | E3d7e09bdbb57 | 2211
E469de4871061 | E1da84b778cb6 | 2030
E469de4871061 | E986cb8ffb553 | 1598

### TABLE E7f97e0d835c8 ###
Ef1a57e5f75c4 | Eafe11b25dee8 | Ec3f7cfa18f71
Ef1a57e5f75c4 | E38c2285edd29 | 260000
E5d1285c535a4 | Eafe11b25dee8 | E8d0a91765504
E5d1285c535a4 | E38c2285edd29 | 119000
E879e739ab76d | Eafe11b25dee8 | E6a7badf574c0
E879e739ab76d | E38c2285edd29 | 107000
Ee22d84dd62c4 | Eafe11b25dee8 | E601e7981474e
Ee22d84dd62c4 | E38c2285edd29 | 91000
Ef031dc7205cd | Eafe11b25dee8 | Eb6e19f196088
Ef031dc7205cd | E38c2285edd29 | 66000
E1741790822aa | Eafe11b25dee8 | Ec6956f781dbb
E1741790822aa | E38c2285edd29 | 39000
E262fdeb7ae22 | Eafe11b25dee8 | E67fafc325150
E262fdeb7ae22 | E38c2285edd29 | 25000

### TABLE Eef1b0fe842fd ###
E04e17b6643aa | Eaa446e4d6006 | E94f36e65c90d
E04e17b6643aa | E66d9d82f593d | E3c439b4adf43
E04e17b6643aa | Ed448e36fb5b5 | Efad2c8c99e3e
E51aba2ea780b | Eaa446e4d6006 | E0e5ab1510c8c
E51aba2ea780b | E66d9d82f593d | 123587
E51aba2ea780b | Ed448e36fb5b5 | 119630
Efd3029e643df | Eaa446e4d6006 | E34817deb5018
Efd3029e643df | E66d9d82f593d | Ee654f892dc9a
Efd3029e643df | Ed448e36fb5b5 | Efc2048f6a1ef
E83d4ff470883 | Eaa446e4d6006 | Ec1e3de48360c
E83d4ff470883 | E66d9d82f593d | 10592
E83d4ff470883 | Ed448e36fb5b5 | 7835

### TABLE Eb771b81e59e7 ###
E245389f80117 | E11f7052e71e1 | E5356c47ccda8
E245389f80117 | E3d7e09bdbb57 | Eeaaadc08c51b
E245389f80117 | E1da84b778cb6 | Ebf20c69985b2
E245389f80117 | E986cb8ffb553 | E9afc59a06743
E0b2e67d1b6de | E11f7052e71e1 | E40114b7012d1
E0b2e67d1b6de | E3d7e09bdbb57 | Ec40d5f66466a
E0b2e67d1b6de | E1da84b778cb6 | Ec9530df1084f
E0b2e67d1b6de | E986cb8ffb553 | Ec3a8ce7e2aae
E9cf6934ec632 | E11f7052e71e1 | E6b82a2b0dce5
E9cf6934ec632 | E3d7e09bdbb57 | E24c6154ea094
E9cf6934ec632 | E1da84b778cb6 | Eba881d616bd7
E9cf6934ec632 | E986cb8ffb553 | E8c3d9eea1128
E604c359e71a6 | E11f7052e71e1 | E3d0d1a502817
E604c359e71a6 | E3d7e09bdbb57 | 5
E604c359e71a6 | E1da84b778cb6 | 4
E604c359e71a6 | E986cb8ffb553 | 33
E1f8bac9319f8 | E11f7052e71e1 | E9375f6058027
E1f8bac9319f8 | E3d7e09bdbb57 | 2
E1f8bac9319f8 | E1da84b778cb6 | 6
E1f8bac9319f8 | E986cb8ffb553 | 19
Efa5670c5126a | E11f7052e71e1 | Ed1e3aa470cfa
Efa5670c5126a | E3d7e09bdbb57 | 2
Efa5670c5126a | E1da84b778cb6 | 1
Efa5670c5126a | E986cb8ffb553 | 5
E9360d26a94ea | E11f7052e71e1 | E4c4c888c39a3
E9360d26a94ea | E3d7e09bdbb57 | 3
E9360d26a94ea | E1da84b778cb6 | Ec40d5f66466a
E9360d26a94ea | E986cb8ffb553 | 2
E3bf067c1543a | E11f7052e71e1 | E9b81a62f93ce
E3bf067c1543a | E3d7e09bdbb57 | E5afae7602eda
E3bf067c1543a | E1da84b778cb6 | Eeaaadc08c51b
E3bf067c1543a | E986cb8ffb553 | Ebf20c69985b2

### TABLE Efcd0b604f9a8 ###
E77dd658acaed | E11cb11528777 | Ee0871cdcc886
E77dd658acaed | E420f2b5bc48a | E81ca349239a9
E77dd658acaed | Ea77014fbbdad | E95927210f2e3
E6ac19c668a6f | E11cb11528777 | E5ecbd2668d07
E6ac19c668a6f | E420f2b5bc48a | 2289
E6ac19c668a6f | Ea77014fbbdad | 2289
E36120dafd395 | E11cb11528777 | E16a5efde4350
E36120dafd395 | E420f2b5bc48a | 207
E36120dafd395 | Ea77014fbbdad | 197
E1e7dbd283ffb | E11cb11528777 | Ede72436de7eb
E1e7dbd283ffb | E420f2b5bc48a | Ef53d97123635
E1e7dbd283ffb | Ea77014fbbdad | E449b47d7c3c1
E65c740b85a6c | E11cb11528777 | E337b521c7b92
E65c740b85a6c | E420f2b5bc48a | E38b0af69bc4b
E65c740b85a6c | Ea77014fbbdad | Ee11507f68964

### TABLE E6d33cd5f9dca ###
Ee35666037593 | E43dbc2c6ec25 | E3b5ce161e06e
Ee35666037593 | E986cb8ffb553 | E38bed92bddb0
Ee35666037593 | E420f2b5bc48a | E3f136a60543a
Ee35666037593 | Ea77014fbbdad | Edc958cb8e8cf
Ef3c00b864de3 | E43dbc2c6ec25 | E6d843e0c5365
Ef3c00b864de3 | E986cb8ffb553 | 6334
Ef3c00b864de3 | E420f2b5bc48a | 5298
Ef3c00b864de3 | Ea77014fbbdad | 6032
E118a6b07d2df | E43dbc2c6ec25 | Eeba8fb127076
E118a6b07d2df | E986cb8ffb553 | Ea6b9e0351411
E118a6b07d2df | E420f2b5bc48a | E5df8009a7620
E118a6b07d2df | Ea77014fbbdad | E841793d13315
Edc5aeec9e9b3 | E43dbc2c6ec25 | Ec09316c4e665
Edc5aeec9e9b3 | E986cb8ffb553 | E207cfe14f44c
Edc5aeec9e9b3 | E420f2b5bc48a | Ecf471e0ef183
Edc5aeec9e9b3 | Ea77014fbbdad | E34755264da17
E9ee31da7bbb8 | E43dbc2c6ec25 | E31dd1d74e6d3
E9ee31da7bbb8 | E986cb8ffb553 | 520307
E9ee31da7bbb8 | E420f2b5bc48a | 510292
E9ee31da7bbb8 | Ea77014fbbdad | 522989
E7e588d6168de | E43dbc2c6ec25 | E98728cc51b24
E7e588d6168de | E986cb8ffb553 | E9af03df61789
E7e588d6168de | E420f2b5bc48a | E830b12d0feac
E7e588d6168de | Ea77014fbbdad | Ef8a7447e8eb5
E7d65cfb29065 | E43dbc2c6ec25 | Ebe7d1e7bb749
E7d65cfb29065 | E986cb8ffb553 | Edbf769b4cdfd
E7d65cfb29065 | E420f2b5bc48a | E1ad8c8993acd
E7d65cfb29065 | Ea77014fbbdad | E93b611e28875
Ed7ddacd62fec | E43dbc2c6ec25 | Ebff06f261e05
Ed7ddacd62fec | E986cb8ffb553 | 1.22
Ed7ddacd62fec | E420f2b5bc48a | 1.04
Ed7ddacd62fec | Ea77014fbbdad | 1.15
Eb1f266216a3b | E43dbc2c6ec25 | Ebe7d1e7bb749
Eb1f266216a3b | E986cb8ffb553 | E17a5e40e02f2
Eb1f266216a3b | E420f2b5bc48a | E145126a32fb1
Eb1f266216a3b | Ea77014fbbdad | E11b39abe78e8

### TABLE E01b599db48ea ###
Ec02b5c3fd574 | E11cb11528777 | E86f021770831
Ec02b5c3fd574 | E1da84b778cb6 | 1082
Ec02b5c3fd574 | E986cb8ffb553 | 642
Ec02b5c3fd574 | E420f2b5bc48a | 1178
E6c27f5f0c3e2 | E11cb11528777 | Ee6b91d64c427
E6c27f5f0c3e2 | E1da84b778cb6 | 948
E6c27f5f0c3e2 | E986cb8ffb553 | 956
E6c27f5f0c3e2 | E420f2b5bc48a | 1168
E74817be1b0ec | E11cb11528777 | Ec0dc783908a2
E74817be1b0ec | E1da84b778cb6 | 2030
E74817be1b0ec | E986cb8ffb553 | 1598
E74817be1b0ec | E420f2b5bc48a | 2346

### TABLE E08ca8fb0e0d9 ###
E764dbe3365a2 | Ef4a013ca7ad0 | E5fde445d247a
E764dbe3365a2 | E3fcce9910fe7 | E6510a8c4e534
E764dbe3365a2 | E8a776b4057b2 | E6510a8c4e534
E764dbe3365a2 | Eef4d5a81b57b | E437b1ee3c4b3
E764dbe3365a2 | E589532d56844 | E437b1ee3c4b3
E764dbe3365a2 | E22eec6054056 | E437b1ee3c4b3
E5643679d58a7 | Ef4a013ca7ad0 | Ec2186c2b2ba4
E5643679d58a7 | E3fcce9910fe7 | 160
E5643679d58a7 | E8a776b4057b2 | 13
E5643679d58a7 | Eef4d5a81b57b | 26
E5643679d58a7 | E589532d56844 | 26
E5643679d58a7 | E22eec6054056 | 95
Ef7f7fcedc22a | Ef4a013ca7ad0 | E5101ce5d3f56
Ef7f7fcedc22a | E3fcce9910fe7 | 7303
Ef7f7fcedc22a | E8a776b4057b2 | 549
Ef7f7fcedc22a | Eef4d5a81b57b | 696
Ef7f7fcedc22a | E589532d56844 | 1513
Ef7f7fcedc22a | E22eec6054056 | 4545
Eb72668bdd8bd | Ef4a013ca7ad0 | E6f1a3027cc06
Eb72668bdd8bd | E3fcce9910fe7 | 5
Eb72668bdd8bd | E8a776b4057b2 | 1
Eb72668bdd8bd | Eef4d5a81b57b | 1
Eb72668bdd8bd | E589532d56844 | 1
Eb72668bdd8bd | E22eec6054056 | 2
E50bce8173dd9 | Ef4a013ca7ad0 | E2fd571d8c582
E50bce8173dd9 | E3fcce9910fe7 | 617
E50bce8173dd9 | E8a776b4057b2 | 131
E50bce8173dd9 | Eef4d5a81b57b | 211
E50bce8173dd9 | E589532d56844 | 160
E50bce8173dd9 | E22eec6054056 | 115
E26c653913e93 | Ef4a013ca7ad0 | E1d7818820e32
E26c653913e93 | E3fcce9910fe7 | 2753
E26c653913e93 | E8a776b4057b2 | 242
E26c653913e93 | Eef4d5a81b57b | 436
E26c653913e93 | E589532d56844 | 375
E26c653913e93 | E22eec6054056 | 1700
E334afc86912c | Ef4a013ca7ad0 | Ef2bb65774bf1
E334afc86912c | E3fcce9910fe7 | Ed48687efb5b4
E334afc86912c | E8a776b4057b2 | E771c97330833
E334afc86912c | Eef4d5a81b57b | Ec93ecb6c03cc
E334afc86912c | E589532d56844 | Ef2892bb2554a
E334afc86912c | E22eec6054056 | E2408c7c887ee

### TABLE E8feecadb183c ###
E23fd052b7d91 | E11f7052e71e1 | Efffe23b4111b
E23fd052b7d91 | E139a4f2c802a | Ee606b17d211a
E23fd052b7d91 | Ee38787f339a5 | Ee5a5eb59c1f9
E23fd052b7d91 | E09ee28c83c49 | E31fcbac73598
E23fd052b7d91 | E1f92d0ff20cf | E60b2914e0c9f
E23fd052b7d91 | Ee44057300083 | E662e62100c98
E9d277b64bf6f | E11f7052e71e1 | E929a06003023
E9d277b64bf6f | E139a4f2c802a | 241
E9d277b64bf6f | Ee38787f339a5 | 276
E9d277b64bf6f | E09ee28c83c49 | 317
E9d277b64bf6f | E1f92d0ff20cf | 378
E9d277b64bf6f | Ee44057300083 | 455
Ecc218836fd58 | E11f7052e71e1 | Ecc03195ef3fe
Ecc218836fd58 | E139a4f2c802a | E196c0ae79377
Ecc218836fd58 | Ee38787f339a5 | Ef0de2e2c77a8
Ecc218836fd58 | E09ee28c83c49 | Ec93ecb6c03cc
Ecc218836fd58 | E1f92d0ff20cf | E7b32f04a2096
Ecc218836fd58 | Ee44057300083 | E92f74019a503
E105d65e14f8e | E11f7052e71e1 | Efc456d610791
E105d65e14f8e | E139a4f2c802a | E9552302834ee
E105d65e14f8e | Ee38787f339a5 | E1499aca940e6
E105d65e14f8e | E09ee28c83c49 | Edbdc81d255d6
E105d65e14f8e | E1f92d0ff20cf | Edd9150db50c4
E105d65e14f8e | Ee44057300083 | Efa7c92648e2d
Ee360bbc82ed5 | E11f7052e71e1 | E51715e63986a
Ee360bbc82ed5 | E139a4f2c802a | 7590
Ee360bbc82ed5 | Ee38787f339a5 | 7015
Ee360bbc82ed5 | E09ee28c83c49 | 6170
Ee360bbc82ed5 | E1f92d0ff20cf | 6853
Ee360bbc82ed5 | Ee44057300083 | 7221
E01451a266a32 | E11f7052e71e1 | E420ece78daa8
E01451a266a32 | E139a4f2c802a | 1545
E01451a266a32 | Ee38787f339a5 | 1296
E01451a266a32 | E09ee28c83c49 | 1504
E01451a266a32 | E1f92d0ff20cf | 341
E01451a266a32 | Ee44057300083 | 6
E2deb4ddd0887 | E11f7052e71e1 | E3d974b671753
E2deb4ddd0887 | E139a4f2c802a | E1bae92d064ba
E2deb4ddd0887 | Ee38787f339a5 | Ea081c6458fe7
E2deb4ddd0887 | E09ee28c83c49 | Ee92af08ba142
E2deb4ddd0887 | E1f92d0ff20cf | E36c911008853
E2deb4ddd0887 | Ee44057300083 | E57cbe66061de
Ec8e1c6b73abd | E11f7052e71e1 | E0bbd3f28fc7d
Ec8e1c6b73abd | E139a4f2c802a | E8101f3c0ed45
Ec8e1c6b73abd | Ee38787f339a5 | Ed3a881d3f85a
Ec8e1c6b73abd | E09ee28c83c49 | E026e9421240a
Ec8e1c6b73abd | E1f92d0ff20cf | E392355999a5e
Ec8e1c6b73abd | Ee44057300083 | E5bf740831d93

### TABLE Ef88d452e406d ###
E3771bf99e7be | E11f7052e71e1 | Eacedb7e8cd3d
E3771bf99e7be | E66d9d82f593d | E3c18eb24dc69
E3771bf99e7be | Ed448e36fb5b5 | Ede3673f449cb
E3771bf99e7be | E2aa45b1f04e2 | Ee4d6464f21e1
E1902302e7243 | E11f7052e71e1 | E64ff5843420d
E1902302e7243 | E66d9d82f593d | 972
E1902302e7243 | Ed448e36fb5b5 | 972
E1902302e7243 | E2aa45b1f04e2 | 953
Ee3052b2d4018 | E11f7052e71e1 | E8c8152c68434
Ee3052b2d4018 | E66d9d82f593d | Ed79432e8ca03
Ee3052b2d4018 | Ed448e36fb5b5 | E48962fb74b23
Ee3052b2d4018 | E2aa45b1f04e2 | Edcec405803c9
Eda229fc914f9 | E11f7052e71e1 | E1cd497c21b2f
Eda229fc914f9 | E66d9d82f593d | 17800
Eda229fc914f9 | Ed448e36fb5b5 | 16800
Eda229fc914f9 | E2aa45b1f04e2 | 17900

### TABLE E83568b7a2579 ###
E390d963a9c89 | E11f7052e71e1 | E1f5089d7949f
E390d963a9c89 | E6be41bdb07e7 | E32f1f925520f
E390d963a9c89 | E4e00a177b7a1 | E1965de9f1050
E390d963a9c89 | E7541a4acfe7a | E4d52bfad7a89
Eb02b9de3e759 | E11f7052e71e1 | E6790e12c7035
Eb02b9de3e759 | E6be41bdb07e7 | 24
Eb02b9de3e759 | E4e00a177b7a1 | 25
Eb02b9de3e759 | E7541a4acfe7a | 26
E556ed36448e6 | E11f7052e71e1 | E999d09dfabd7
E556ed36448e6 | E6be41bdb07e7 | 12
E556ed36448e6 | E4e00a177b7a1 | 21
E556ed36448e6 | E7541a4acfe7a | 30
Eeef773b3a808 | E11f7052e71e1 | Ed6cc7285af1f
Eeef773b3a808 | E6be41bdb07e7 | 13
Eeef773b3a808 | E4e00a177b7a1 | 17
Eeef773b3a808 | E7541a4acfe7a | 20
E21a6b4ac2e2b | E11f7052e71e1 | E42db16a964bf
E21a6b4ac2e2b | E6be41bdb07e7 | E5fef8a191761
E21a6b4ac2e2b | E4e00a177b7a1 | Ef47cddb12e7b
E21a6b4ac2e2b | E7541a4acfe7a | E6f954d62027c
E2152dc117554 | E11f7052e71e1 | Ef2bb65774bf1
E2152dc117554 | E6be41bdb07e7 | Eac894b9882eb
E2152dc117554 | E4e00a177b7a1 | Ea7a8968ebac0
E2152dc117554 | E7541a4acfe7a | E9941463493ed

### TABLE E6e1044ae9b36 ###
Efe33182d5012 | E170c7edf69ab | 2008
Efe33182d5012 | Ee8f745134a2c | E3660c20147f3
Efe33182d5012 | Ec61a1d6ebcbf | Eae7075dc6550
Efe33182d5012 | E2f7d2a607c9d | Ecb4c0dedc548
E5ab1b82d808c | E170c7edf69ab | 2009
E5ab1b82d808c | Ee8f745134a2c | 300.9
E5ab1b82d808c | Ec61a1d6ebcbf | Eaf3722b8ec8f
E5ab1b82d808c | E2f7d2a607c9d | 263.4
Ef60df9148633 | E170c7edf69ab | 2010
Ef60df9148633 | Ee8f745134a2c | 267.7
Ef60df9148633 | Ec61a1d6ebcbf | Eb1c56ef35450
Ef60df9148633 | E2f7d2a607c9d | 236.7
E37380a9c16d1 | E170c7edf69ab | 2011
E37380a9c16d1 | Ee8f745134a2c | 233.7
E37380a9c16d1 | Ec61a1d6ebcbf | E3f516bdae641
E37380a9c16d1 | E2f7d2a607c9d | 208.0
E962ff6803d9e | E170c7edf69ab | 2012
E962ff6803d9e | Ee8f745134a2c | 197.9
E962ff6803d9e | Ec61a1d6ebcbf | Ed76f63abffec
E962ff6803d9e | E2f7d2a607c9d | 177.7
E9b5ceab35156 | E170c7edf69ab | E3d76f7090bd4
E9b5ceab35156 | Ee8f745134a2c | 871.0
E9b5ceab35156 | Ec61a1d6ebcbf | E5aa43899136f
E9b5ceab35156 | E2f7d2a607c9d | 837.9
E10b336734ed3 | E170c7edf69ab | Ef2bb65774bf1
E10b336734ed3 | Ee8f745134a2c | E4cf4159f00e6
E10b336734ed3 | Ec61a1d6ebcbf | Eb901deb1e052
E10b336734ed3 | E2f7d2a607c9d | E8aa4e4b2711a

### TABLE E1d9a5288bdeb ###
E21cb83747636 | E11f7052e71e1 | E8901b6ac4f24
E21cb83747636 | E7eb3f56226bd | Ea9f184a79406
E21cb83747636 | E2c1a2a5fb006 | E135f840b1113
E21cb83747636 | Eac096cc34fe0 | E3851871fb218
E795bc2a7d871 | E11f7052e71e1 | E64ff5843420d
E795bc2a7d871 | E7eb3f56226bd | 161
E795bc2a7d871 | E2c1a2a5fb006 | 268
E795bc2a7d871 | Eac096cc34fe0 | 163

### TABLE Ea380c226493c ###
E13accfa180d9 | E11cb11528777 | E6abed5197ace
E13accfa180d9 | E3a0545025630 | 51
E13accfa180d9 | E19ed85ce1a01 | 85.2
E5d89e98bdb2e | E11cb11528777 | Ed5772c702915
E5d89e98bdb2e | E3a0545025630 | 37
